CODE,PRODUCTO,Tiempo,TIPO_CARROCERIA,Edad_Cliente,COMBUSTIBLE,Revisiones,Potencia,TRANS,Mas_1_coche,FORMA_PAGO,km_anno,ESTADO_CIVIL,COSTE_VENTA,GENERO,QUEJA_CAC,Zona_Renta,OcupaciOn,Averia_grave,Campanna3,PROVINCIA,REV_Garantia,Campanna2,Campanna1,Grupo_Edad_Codificado
CLI3203,1,0,0,63,0,1,2.0,1,0,2,0,3,3242,2,0,1.0,1,4.0,1,39,0,0,0,5
CLI3204,1,6,0,42,0,1,2.0,1,1,3,0,0,3994,2,0,1.0,1,4.0,1,45,0,0,0,3
CLI3205,1,0,0,70,0,1,2.0,1,0,2,0,0,4107,2,0,1.0,1,4.0,1,48,0,0,0,5
CLI3206,1,0,0,43,0,0,2.0,1,0,2,0,0,3242,2,0,1.0,1,4.0,1,39,0,0,0,3
CLI3207,1,0,0,45,0,1,2.0,1,0,0,0,0,2662,2,0,1.0,1,4.0,0,0,0,0,0,3
CLI3208,1,0,0,53,0,0,2.0,1,0,2,0,0,3242,2,0,1.0,1,4.0,1,10,0,0,0,4
CLI3209,1,0,0,44,0,1,2.0,1,0,0,0,0,2662,2,0,1.0,1,4.0,0,43,0,0,0,3
CLI3210,1,0,0,43,0,1,2.0,1,0,2,0,0,3242,2,0,1.0,1,4.0,1,48,0,0,0,3
CLI3211,1,2,0,48,0,1,2.0,1,1,2,0,0,0,2,0,0.0,1,1.0,1,2,0,0,1,3
CLI3212,1,6,0,38,0,1,2.0,1,1,2,0,0,4322,2,0,3.0,1,4.0,1,40,0,0,1,2
CLI3213,1,0,0,58,0,1,2.0,1,0,0,0,0,1750,1,0,3.0,1,4.0,0,13,0,0,0,4
CLI3214,1,0,0,58,0,1,2.0,1,0,2,0,0,2662,2,1,1.0,1,4.0,1,32,0,0,1,4
CLI3215,1,0,0,43,0,1,2.0,1,0,3,0,0,2662,2,0,1.0,1,4.0,0,32,0,0,0,3
CLI3216,1,0,0,25,0,0,2.0,1,0,2,0,0,4107,2,0,1.0,1,4.0,1,48,0,0,0,1
CLI3217,1,5,0,60,0,1,2.0,1,1,1,0,0,3878,2,0,1.0,1,4.0,1,8,0,0,0,4
CLI3218,1,0,0,22,0,0,2.0,1,0,2,0,0,2662,2,0,1.0,1,4.0,1,32,0,0,1,1
CLI3219,1,0,0,52,0,0,2.0,1,0,3,0,0,2662,1,0,1.0,1,4.0,0,27,0,0,0,4
CLI3220,1,0,0,68,0,0,2.0,1,0,2,0,4,4107,2,1,1.0,1,2.0,1,32,0,0,0,5
CLI3221,1,0,0,69,0,1,2.0,1,0,0,0,0,2662,2,0,1.0,1,4.0,0,20,0,0,0,5
CLI3222,1,0,0,26,0,1,2.0,1,0,0,0,4,2662,1,0,1.0,1,4.0,0,3,0,0,0,1
CLI3223,1,0,0,49,0,1,2.0,1,0,2,0,0,4107,2,0,1.0,1,4.0,1,8,0,0,0,3
CLI3224,1,0,0,29,0,1,2.0,1,0,2,0,0,3242,2,0,1.0,1,4.0,1,45,0,0,1,1
CLI3225,1,0,0,46,0,0,2.0,1,0,2,0,0,3242,1,0,1.0,1,4.0,1,19,0,0,0,3
CLI3226,1,0,0,26,0,1,2.0,1,0,2,0,0,3242,2,0,1.0,1,4.0,1,32,0,0,0,1
CLI3227,1,0,0,71,0,1,2.0,1,0,3,0,4,2662,2,0,1.0,1,4.0,0,50,0,0,0,6
CLI3228,1,0,0,63,0,0,2.0,1,0,0,0,0,2662,2,0,1.0,1,4.0,0,32,0,0,0,5
CLI3229,1,0,0,47,0,1,2.0,1,0,2,0,0,4107,2,0,1.0,1,4.0,1,7,0,0,1,3
